Weekday,quarter,StoreLocation,Sales,IsHoliday,IsDayAfterHoliday,IsDisaster,IsDayAfterDisaster,Temperature,PriceOfGas,CurrentCPI,year,month,day
6,1,Lehi,505.0909909157466,False,False,False,False,64.38,2.23,168.8,2020,1,12
0,1,Provo,1101.7148682412135,False,False,False,False,-4.19,1.95,186.7,2020,1,13
0,1,Springville,957.9481643374862,False,False,False,False,22.81,2.48,185.66,2020,1,13
0,1,Orem,1408.298566943015,False,False,False,False,55.64,2.49,236.67,2020,1,13
0,1,Lehi,1214.4071421055253,False,False,False,False,106.9,6.06,180.46,2020,1,13
1,1,Provo,1340.5805521295526,False,False,False,False,55.75,2.17,203.23,2020,1,14
1,1,Springville,192.47002782286307,False,False,False,False,67.49,2.75,185.73,2020,1,14
1,1,Orem,0.0,False,False,False,False,66.0,1.99,195.21,2020,1,14
1,1,Lehi,1034.1582411204768,False,False,False,False,74.25,3.12,189.55,2020,1,14
2,1,Provo,0.0,False,False,False,False,89.88,4.82,187.92,2020,1,15
2,1,Springville,2324.0844425097384,False,False,False,False,129.19,9.12,192.87,2020,1,15
2,1,Orem,1212.5943891737725,False,False,False,False,35.75,2.65,201.36,2020,1,15
2,1,Lehi,69.64242496819136,False,False,False,False,126.49,8.17,249.57,2020,1,15
3,1,Provo,1196.3387136173048,False,False,False,False,-14.5,2.14,224.97,2020,1,16
3,1,Springville,246.57345409161866,False,False,False,False,41.04,2.09,251.92,2020,1,16
3,1,Orem,2165.6809289943676,False,False,False,False,64.74,2.33,189.6,2020,1,16
3,1,Lehi,414.48165029754574,False,False,False,False,42.68,2.06,145.06,2020,1,16
4,1,Provo,1345.6072380953299,False,False,False,False,29.17,2.23,160.88,2020,1,17
4,1,Springville,1867.8549188641407,False,False,False,False,76.86,3.59,181.03,2020,1,17
4,1,Orem,1278.7020109845373,False,False,False,False,48.36,2.48,175.02,2020,1,17
4,1,Lehi,1295.4762444474618,False,False,False,False,68.85,2.47,203.27,2020,1,17
5,1,Provo,940.3308734412715,False,False,False,False,34.96,2.02,226.61,2020,1,18
5,1,Springville,966.0553197383563,False,False,False,False,78.27,3.57,198.26,2020,1,18
5,1,Orem,1772.5558372295466,False,False,False,False,64.83,2.31,190.71,2020,1,18
5,1,Lehi,408.0223304103314,False,False,False,False,66.74,2.33,183.56,2020,1,18
6,1,Provo,2656.8429902100847,False,False,False,False,112.73,7.3,193.51,2020,1,19
6,1,Springville,1016.5712082674258,False,False,False,False,58.26,2.47,182.32,2020,1,19
6,1,Orem,618.682707096577,False,False,False,False,15.46,2.35,199.13,2020,1,19
6,1,Lehi,1083.5027257405898,False,False,False,False,55.5,2.23,150.99,2020,1,19
0,1,Provo,794.5541691222008,False,False,False,False,66.24,2.8,183.09,2020,1,20
0,1,Springville,427.0022400846958,False,False,False,False,111.85,6.94,176.88,2020,1,20
0,1,Orem,1901.5712761253485,False,False,False,False,57.34,2.21,220.97,2020,1,20
0,1,Lehi,309.7068009770853,False,False,False,False,82.46,3.89,171.58,2020,1,20
1,1,Provo,1794.055004518398,False,False,False,False,50.2,2.38,195.49,2020,1,21
1,1,Springville,1120.672218786578,False,False,False,False,42.98,2.53,212.75,2020,1,21
1,1,Orem,1191.4232437149412,False,False,False,False,52.95,1.96,208.18,2020,1,21
1,1,Lehi,1389.6837695395031,False,False,False,False,41.0,2.61,213.1,2020,1,21
2,1,Provo,1750.8684116435102,False,False,False,False,43.97,2.22,214.72,2020,1,22
2,1,Springville,985.913147307717,False,False,False,False,39.31,2.57,210.77,2020,1,22
2,1,Orem,1078.6064756310736,False,False,False,False,75.27,3.27,195.46,2020,1,22
2,1,Lehi,1422.021438709465,False,False,False,False,61.41,2.08,196.02,2020,1,22
3,1,Provo,1284.9378080641866,False,False,False,False,38.84,2.67,194.73,2020,1,23
3,1,Springville,133.82068508199998,False,False,False,False,35.25,2.53,180.05,2020,1,23
3,1,Orem,1862.8055488903249,False,False,False,False,91.26,5.08,214.51,2020,1,23
3,1,Lehi,516.2812735015525,False,False,False,False,57.31,2.38,223.65,2020,1,23
4,1,Provo,544.5087451279229,False,False,False,False,65.51,1.83,200.0,2020,1,24
4,1,Springville,1879.1926636962885,False,False,False,False,111.83,7.13,210.5,2020,1,24
4,1,Orem,1538.5803071372177,False,False,False,False,39.64,1.78,194.48,2020,1,24
4,1,Lehi,1383.506783018862,False,False,False,False,29.32,1.8,202.98,2020,1,24
5,1,Provo,771.9035236863568,False,False,False,False,66.44,2.35,221.54,2020,1,25
5,1,Springville,315.9871896041273,False,False,False,False,62.5,2.54,203.9,2020,1,25
5,1,Orem,644.1973351940027,False,False,False,False,68.7,2.54,179.34,2020,1,25
5,1,Lehi,1452.350280441004,False,False,False,False,104.7,6.27,221.36,2020,1,25
6,1,Provo,1226.4755133601823,False,False,False,False,12.44,1.98,231.1,2020,1,26
6,1,Springville,349.49224683808376,False,False,False,False,66.17,2.05,226.86,2020,1,26
6,1,Orem,1095.2677952125039,False,False,False,False,77.28,3.31,204.2,2020,1,26
6,1,Lehi,762.2082427127258,False,False,False,False,26.31,2.65,207.45,2020,1,26
0,1,Provo,792.0256600830896,False,False,False,False,36.09,2.51,192.52,2020,1,27
0,1,Springville,455.7862097458714,False,False,False,False,73.94,3.06,226.16,2020,1,27
0,1,Orem,1569.0978520265403,False,False,False,False,70.01,2.64,230.38,2020,1,27
0,1,Lehi,2218.157256994635,False,False,False,False,74.1,3.15,223.34,2020,1,27
1,1,Provo,389.18930031236715,False,False,False,False,78.72,3.57,192.11,2020,1,28
1,1,Springville,638.7459176653565,False,False,False,False,5.62,2.19,217.91,2020,1,28
1,1,Orem,1126.44677746809,False,False,False,False,91.51,4.86,175.44,2020,1,28
1,1,Lehi,1851.4789619315516,False,False,False,False,7.06,2.57,251.05,2020,1,28
2,1,Provo,1279.7527628220216,False,False,False,False,64.93,2.12,248.96,2020,1,29
2,1,Springville,831.0971652764578,False,False,False,False,9.27,1.91,210.6,2020,1,29
2,1,Orem,1198.383392009032,False,False,False,False,55.4,2.21,171.3,2020,1,29
2,1,Lehi,838.4616263976247,False,False,False,False,102.38,6.0,229.8,2020,1,29
3,1,Provo,1309.372138262567,False,False,False,False,91.61,4.41,212.86,2020,1,30
3,1,Springville,705.4901082420844,False,False,False,False,75.52,2.89,209.87,2020,1,30
3,1,Orem,2154.0447077483163,False,False,False,False,61.4,2.21,205.47,2020,1,30
3,1,Lehi,1853.4978709336615,False,False,False,False,75.09,3.29,211.59,2020,1,30
4,1,Provo,1154.7516767790944,False,False,False,False,75.23,2.95,161.93,2020,1,31
4,1,Springville,1448.9697475607636,False,False,False,False,125.76,8.15,202.76,2020,1,31
4,1,Orem,1314.6870625939277,False,False,False,False,11.01,2.52,200.03,2020,1,31
4,1,Lehi,1057.0033848177025,False,False,False,False,53.56,2.37,158.93,2020,1,31
5,1,Provo,1807.709745993903,False,False,False,False,54.18,2.47,201.18,2020,2,1
5,1,Springville,1868.742482254121,False,False,False,False,65.3,2.76,153.81,2020,2,1
5,1,Orem,1670.83154674394,False,False,False,False,29.33,2.73,199.16,2020,2,1
5,1,Lehi,718.2952856377085,False,False,False,False,100.25,5.51,163.71,2020,2,1
6,1,Provo,555.8595849914554,False,False,False,False,59.02,1.93,210.47,2020,2,2
6,1,Springville,0.0,False,False,False,False,41.17,2.07,182.65,2020,2,2
6,1,Orem,1512.4276202412923,False,False,False,False,106.48,6.35,169.66,2020,2,2
6,1,Lehi,593.4483649648196,False,False,False,False,95.63,5.45,176.2,2020,2,2
0,1,Provo,1837.7687351692039,False,False,False,False,107.22,6.79,241.68,2020,2,3
0,1,Springville,1549.8339767368282,False,False,False,False,23.57,2.69,201.06,2020,2,3
0,1,Orem,0.0,False,False,False,False,42.61,2.21,214.64,2020,2,3
0,1,Lehi,913.1803237715069,False,False,False,False,94.74,5.33,191.21,2020,2,3
1,1,Provo,1692.0649077041492,False,False,False,False,63.91,2.45,162.9,2020,2,4
1,1,Springville,1302.9162003568124,False,False,False,False,80.07,3.84,139.1,2020,2,4
1,1,Orem,1804.0286303964845,False,False,False,False,131.37,8.89,210.66,2020,2,4
1,1,Lehi,1338.2172841848449,False,False,False,False,37.82,2.37,200.33,2020,2,4
2,1,Provo,1387.8091228820354,False,False,False,False,85.49,4.11,180.46,2020,2,5
2,1,Springville,1616.630581757836,False,False,False,False,42.65,2.08,175.83,2020,2,5
2,1,Orem,1419.368127460378,False,False,False,False,76.68,3.76,209.77,2020,2,5
2,1,Lehi,2011.2566989754705,False,False,False,False,26.55,2.44,209.03,2020,2,5
3,1,Provo,710.9516417939085,False,False,False,False,102.03,6.02,194.58,2020,2,6
3,1,Springville,573.2068821312888,False,False,False,False,0.11,2.39,216.22,2020,2,6
3,1,Orem,1208.7907954543039,False,False,False,False,71.38,2.79,205.85,2020,2,6
3,1,Lehi,1288.6861401258327,False,False,False,False,90.03,4.77,211.64,2020,2,6
4,1,Provo,1001.3190557218072,False,False,False,False,80.72,3.71,235.04,2020,2,7
4,1,Springville,1490.9472890990478,False,False,False,False,44.31,2.11,201.55,2020,2,7
4,1,Orem,2635.076928032465,False,False,False,False,84.11,4.45,219.47,2020,2,7
4,1,Lehi,540.0644862389514,False,False,False,False,99.69,5.59,206.65,2020,2,7
5,1,Provo,784.4865408261451,False,False,False,False,49.15,2.16,204.55,2020,2,8
5,1,Springville,1717.9993694701625,False,False,False,False,70.86,2.91,233.22,2020,2,8
5,1,Orem,1269.2355002603867,False,False,False,False,40.61,2.47,220.25,2020,2,8
5,1,Lehi,1928.6848434549127,False,False,False,False,67.43,2.41,144.94,2020,2,8
6,1,Provo,599.8931952046767,False,False,False,False,72.37,3.38,210.93,2020,2,9
6,1,Springville,1421.802910322202,False,False,False,False,30.4,2.33,204.41,2020,2,9
6,1,Orem,1789.4941328384255,False,False,False,False,78.51,3.79,210.92,2020,2,9
6,1,Lehi,109.62396192717657,False,False,False,False,33.44,2.24,115.5,2020,2,9
0,1,Provo,795.7778452195266,False,False,False,False,64.74,2.22,230.61,2020,2,10
0,1,Springville,1597.622515792292,False,False,False,False,48.7,2.3,209.63,2020,2,10
0,1,Orem,385.26630305949374,False,False,False,False,79.64,3.87,173.77,2020,2,10
0,1,Lehi,1369.3987237398326,False,False,False,False,47.35,2.25,208.87,2020,2,10
1,1,Provo,1015.555546381557,False,False,False,False,103.6,5.77,178.94,2020,2,11
1,1,Springville,1721.2458850281746,False,False,False,False,47.73,2.12,187.12,2020,2,11
1,1,Orem,688.5659716471857,False,False,False,False,28.28,2.48,242.37,2020,2,11
1,1,Lehi,487.6034929634645,False,False,False,False,75.71,3.53,183.96,2020,2,11
2,1,Provo,1039.78328100622,False,False,False,False,71.83,3.18,194.5,2020,2,12
2,1,Springville,980.1522101208254,False,False,False,False,42.03,2.51,188.6,2020,2,12
2,1,Orem,639.7045128005562,False,False,False,False,103.35,6.02,183.47,2020,2,12
2,1,Lehi,1732.7104442762197,False,False,False,False,87.99,4.09,164.1,2020,2,12
3,1,Provo,2109.4749229913914,False,False,False,False,71.56,2.62,214.44,2020,2,13
3,1,Springville,1848.0859791633436,False,False,False,False,68.4,2.67,167.37,2020,2,13
3,1,Orem,1524.6312550407995,False,False,False,False,87.2,4.28,229.61,2020,2,13
3,1,Lehi,711.7819983039467,False,False,False,False,69.27,2.63,157.22,2020,2,13
4,1,Provo,1042.3638180636506,False,False,False,False,74.14,3.5,206.69,2020,2,14
4,1,Springville,2212.5553402464598,False,False,False,False,106.55,6.32,169.6,2020,2,14
4,1,Orem,1940.6842560752539,False,False,False,False,71.41,2.54,170.09,2020,2,14
4,1,Lehi,734.0711933488642,False,False,False,False,18.28,2.26,224.95,2020,2,14
5,1,Provo,1015.0054261548502,False,False,False,False,71.99,2.59,215.49,2020,2,15
5,1,Springville,1251.0465825462566,False,False,False,False,88.62,4.61,176.32,2020,2,15
5,1,Orem,535.5453774019758,False,False,False,False,53.12,2.06,221.77,2020,2,15
5,1,Lehi,2150.522981228195,False,False,False,False,94.81,5.06,195.41,2020,2,15
6,1,Provo,1039.302753809846,False,False,False,False,102.36,6.09,195.43,2020,2,16
6,1,Springville,1392.230009675194,False,False,False,False,99.17,5.65,238.27,2020,2,16
6,1,Orem,668.5199409518088,False,False,False,False,71.53,2.61,211.73,2020,2,16
6,1,Lehi,1527.4211149408227,False,False,False,False,63.2,2.65,185.19,2020,2,16
0,1,Provo,1175.949768335502,False,False,False,False,73.59,3.14,224.83,2020,2,17
0,1,Springville,1314.891822629066,False,False,False,False,66.01,2.32,228.07,2020,2,17
0,1,Orem,874.2086972982862,False,False,False,False,34.18,1.92,188.26,2020,2,17
0,1,Lehi,1111.1827074283844,False,False,False,False,22.66,2.28,201.19,2020,2,17
1,1,Provo,2162.408933059474,False,False,False,False,34.68,2.28,195.37,2020,2,18
1,1,Springville,1139.9650165897435,False,False,False,False,54.54,2.14,177.29,2020,2,18
1,1,Orem,2069.7209581982897,False,False,False,False,67.46,2.53,203.32,2020,2,18
1,1,Lehi,1092.0269182582083,False,False,False,False,71.78,3.08,214.82,2020,2,18
2,1,Provo,1334.0332061544893,False,False,False,False,112.13,6.91,178.48,2020,2,19
2,1,Springville,1278.0432756580435,False,False,False,False,83.13,3.73,198.18,2020,2,19
2,1,Orem,1387.494693763223,False,False,False,False,43.07,2.3,231.74,2020,2,19
2,1,Lehi,116.36234421709611,False,False,False,False,97.04,5.54,214.57,2020,2,19
3,1,Provo,873.1287670930026,False,False,False,False,62.79,2.29,184.54,2020,2,20
3,1,Springville,1069.895675652713,False,False,False,False,69.93,2.58,236.49,2020,2,20
3,1,Orem,928.035782606689,False,False,False,False,63.86,2.11,171.03,2020,2,20
3,1,Lehi,678.1936477372682,False,False,False,False,100.38,5.97,214.9,2020,2,20
4,1,Provo,916.4012139930289,False,False,False,False,38.67,2.2,208.12,2020,2,21
4,1,Springville,2220.7107257034454,False,False,False,False,121.49,7.98,184.64,2020,2,21
4,1,Orem,1348.913991198545,False,False,False,False,42.42,2.3,214.47,2020,2,21
4,1,Lehi,602.4710551195656,False,False,False,False,95.38,4.9,190.35,2020,2,21
5,1,Provo,356.1500360903172,False,False,False,False,60.41,2.52,189.89,2020,2,22
5,1,Springville,1484.495284476839,False,False,False,False,54.58,2.73,213.11,2020,2,22
5,1,Orem,1271.9622557761118,False,False,False,False,78.76,3.58,203.41,2020,2,22
5,1,Lehi,331.4570940079826,False,False,False,False,49.54,2.42,202.27,2020,2,22
6,1,Provo,1598.3731544676605,False,False,False,False,116.68,7.27,176.81,2020,2,23
6,1,Springville,576.7811108329549,False,False,False,False,43.53,2.07,151.82,2020,2,23
6,1,Orem,1909.3894346827801,False,False,False,False,87.79,4.15,199.04,2020,2,23
6,1,Lehi,1451.6347866052906,False,False,False,False,53.62,1.86,205.35,2020,2,23
0,1,Provo,1525.010588842028,False,False,False,False,129.11,8.55,179.1,2020,2,24
0,1,Springville,614.8403217208903,False,False,False,False,24.79,2.23,204.99,2020,2,24
0,1,Orem,2050.1892392563564,False,False,False,False,81.72,3.99,211.15,2020,2,24
0,1,Lehi,883.4410622421307,False,False,False,False,30.84,2.35,251.35,2020,2,24
1,1,Provo,1297.507682126749,False,False,False,False,38.5,2.08,162.38,2020,2,25
1,1,Springville,975.583829906691,False,False,False,False,24.68,2.2,173.02,2020,2,25
1,1,Orem,1840.7207461769221,False,False,False,False,40.81,2.51,217.55,2020,2,25
1,1,Lehi,1312.2090181778956,False,False,False,False,29.53,2.34,209.69,2020,2,25
2,1,Provo,1578.218816252816,False,False,False,False,100.99,5.82,225.0,2020,2,26
2,1,Springville,386.31629212795326,False,False,False,False,88.47,4.33,204.27,2020,2,26
2,1,Orem,1108.55417098274,False,False,False,False,72.6,3.28,243.99,2020,2,26
2,1,Lehi,1651.9138670137816,False,False,False,False,73.57,3.07,212.92,2020,2,26
3,1,Provo,611.3045186332157,False,False,False,False,2.02,2.36,197.62,2020,2,27
3,1,Springville,675.3177339429571,False,False,False,False,56.24,2.12,171.04,2020,2,27
3,1,Orem,1755.9015851929173,False,False,False,False,91.97,4.64,160.44,2020,2,27
3,1,Lehi,1251.6666467580208,False,False,False,False,84.86,3.82,228.51,2020,2,27
4,1,Provo,1309.9626934229402,False,False,False,False,65.6,1.93,146.23,2020,2,28
4,1,Springville,437.88117191235153,False,False,False,False,7.81,2.39,204.44,2020,2,28
4,1,Orem,1330.2966763817096,False,False,False,False,87.91,4.79,196.98,2020,2,28
4,1,Lehi,1619.1831448770172,False,False,False,False,116.36,7.39,237.28,2020,2,28
5,1,Provo,1052.7182908554535,False,False,False,False,82.04,3.96,221.59,2020,2,29
5,1,Springville,1496.2247142844244,False,False,False,False,82.52,3.88,178.0,2020,2,29
5,1,Orem,1292.2808622017064,False,False,False,False,85.85,4.25,216.41,2020,2,29
5,1,Lehi,1966.142222453949,False,False,False,False,93.11,5.01,194.95,2020,2,29
6,1,Provo,535.6681115195242,False,False,False,False,91.24,4.79,205.66,2020,3,1
6,1,Springville,379.67514304316904,False,False,False,False,30.28,2.0,209.83,2020,3,1
6,1,Orem,1477.50938426046,False,False,False,False,80.83,3.46,248.06,2020,3,1
6,1,Lehi,1461.9666988519032,False,False,False,False,32.16,2.19,267.41,2020,3,1
0,1,Provo,871.9315450757749,False,False,False,False,75.69,3.46,209.87,2020,3,2
0,1,Springville,563.1156474629314,False,False,False,False,37.32,2.14,206.92,2020,3,2
0,1,Orem,0.0,False,False,False,False,54.48,2.18,221.61,2020,3,2
0,1,Lehi,1732.387046717114,False,False,False,False,60.79,2.19,187.42,2020,3,2
1,1,Provo,703.304707037319,False,False,False,False,81.13,3.44,210.12,2020,3,3
1,1,Springville,926.0489978719705,False,False,False,False,26.3,2.37,231.53,2020,3,3
1,1,Orem,617.5821510468772,False,False,False,False,58.89,2.06,185.75,2020,3,3
1,1,Lehi,1307.0316853421002,False,False,False,False,41.73,2.35,200.05,2020,3,3
2,1,Provo,813.1968753474825,False,False,False,False,94.44,5.21,159.29,2020,3,4
2,1,Springville,40.984346106539135,False,False,False,False,73.32,2.89,236.48,2020,3,4
2,1,Orem,1015.2807177377347,False,False,False,False,74.38,3.35,198.14,2020,3,4
2,1,Lehi,744.0508767114002,False,False,False,False,75.16,2.87,246.78,2020,3,4
3,1,Provo,2199.997169822842,False,False,False,False,148.09,10.49,163.85,2020,3,5
3,1,Springville,1042.064373894724,False,False,False,False,34.6,2.27,236.68,2020,3,5
3,1,Orem,388.658213902287,False,False,False,False,108.07,6.74,186.44,2020,3,5
3,1,Lehi,1862.2379683900808,False,False,False,False,109.68,6.78,209.11,2020,3,5
4,1,Provo,1317.6295668551188,False,False,False,False,51.01,2.24,233.07,2020,3,6
4,1,Springville,845.4430251647985,False,False,False,False,42.44,2.04,227.78,2020,3,6
4,1,Orem,895.2461958756543,False,False,False,False,59.87,2.14,181.94,2020,3,6
4,1,Lehi,398.4572079899567,False,False,False,False,42.24,2.12,232.79,2020,3,6
5,1,Provo,445.074755511483,False,False,False,False,78.06,3.37,210.75,2020,3,7
5,1,Springville,1832.5671541067873,False,False,False,False,39.25,2.1,188.17,2020,3,7
5,1,Orem,839.0741425377463,False,False,False,False,18.37,2.82,171.85,2020,3,7
5,1,Lehi,309.28045819577306,False,False,False,False,33.19,2.13,226.05,2020,3,7
6,1,Provo,79.32195815537204,False,False,False,False,60.23,1.67,178.53,2020,3,8
6,1,Springville,1543.414674701499,False,False,False,False,108.39,6.48,238.42,2020,3,8
6,1,Orem,431.27027387550686,False,False,False,False,72.81,2.66,209.63,2020,3,8
6,1,Lehi,1232.0765035738118,False,False,False,False,5.97,2.14,175.17,2020,3,8
0,1,Provo,721.739380757791,False,False,False,False,115.83,7.2,199.42,2020,3,9
0,1,Springville,629.7918682064259,False,False,False,False,32.13,2.66,205.67,2020,3,9
0,1,Orem,731.4647366105958,False,False,False,False,32.72,2.12,212.48,2020,3,9
0,1,Lehi,134.0906649390247,False,False,False,False,9.95,2.5,190.54,2020,3,9
1,1,Provo,757.6743592432422,False,False,False,False,121.08,7.95,191.02,2020,3,10
1,1,Springville,17.894981837541252,False,False,False,False,55.75,2.15,209.04,2020,3,10
1,1,Orem,1064.2551713346604,False,False,False,False,80.87,3.96,186.06,2020,3,10
1,1,Lehi,632.6573373909017,False,False,False,False,63.36,2.54,188.05,2020,3,10
2,1,Provo,1499.9656659438567,False,False,False,False,40.27,2.12,240.7,2020,3,11
2,1,Springville,763.67327332095,False,False,False,False,30.63,2.15,236.92,2020,3,11
2,1,Orem,2741.2440594418917,False,False,False,False,84.8,4.71,176.86,2020,3,11
2,1,Lehi,1234.7718332067418,False,False,False,False,76.2,3.77,212.05,2020,3,11
3,1,Provo,1785.820518382123,False,False,False,False,74.66,3.02,207.17,2020,3,12
3,1,Springville,349.0751404695115,False,False,False,False,80.87,3.91,201.55,2020,3,12
3,1,Orem,1423.07176488905,False,False,False,False,28.68,2.35,153.77,2020,3,12
3,1,Lehi,885.9746854785545,False,False,False,False,54.8,2.33,171.21,2020,3,12
4,1,Provo,1316.532550804584,False,False,False,False,17.88,2.2,213.86,2020,3,13
4,1,Springville,879.3043346093859,False,False,False,False,81.69,3.65,194.26,2020,3,13
4,1,Orem,3.7070780644675536,False,False,False,False,120.35,7.72,216.92,2020,3,13
4,1,Lehi,1709.5888741254125,False,False,False,False,55.99,2.29,203.62,2020,3,13
5,1,Provo,1578.6532417767853,False,False,False,False,80.99,3.64,182.14,2020,3,14
5,1,Springville,583.3440860052049,False,False,False,False,42.13,2.19,217.6,2020,3,14
5,1,Orem,1284.6238771096187,False,False,False,False,85.91,4.58,171.35,2020,3,14
5,1,Lehi,465.7527874310225,False,False,False,False,121.71,7.91,186.08,2020,3,14
6,1,Provo,1161.7095311761036,False,False,False,False,8.39,2.32,212.19,2020,3,15
6,1,Springville,1214.8710199880777,False,False,False,False,98.12,5.84,187.92,2020,3,15
6,1,Orem,985.7863978854114,False,False,False,False,67.17,1.91,204.74,2020,3,15
6,1,Lehi,1175.171570864657,False,False,False,False,24.97,2.26,201.71,2020,3,15
0,1,Provo,1060.263068349142,False,False,False,False,74.81,3.11,228.09,2020,3,16
0,1,Springville,1112.4293276186854,False,False,False,False,24.53,2.33,163.2,2020,3,16
0,1,Orem,2343.8909934601165,False,False,False,False,98.61,5.75,189.71,2020,3,16
0,1,Lehi,1114.889578409404,False,False,False,False,26.52,2.52,193.11,2020,3,16
1,1,Provo,723.0340267747333,False,False,False,False,-6.7,2.17,179.17,2020,3,17
1,1,Springville,1141.5325072321195,False,False,False,False,16.0,2.13,195.05,2020,3,17
1,1,Orem,956.3284144973012,False,False,False,False,48.15,2.38,228.17,2020,3,17
1,1,Lehi,1210.5433171708673,False,False,False,False,63.02,2.42,200.34,2020,3,17
2,1,Provo,1051.000498501267,False,False,False,False,114.69,7.38,210.25,2020,3,18
2,1,Springville,2410.149547148686,False,False,False,False,113.33,7.12,199.27,2020,3,18
2,1,Orem,811.7168009609345,False,False,False,False,59.73,2.24,240.73,2020,3,18
2,1,Lehi,1123.6427564599035,False,False,False,False,60.73,2.13,207.63,2020,3,18
3,1,Provo,622.4233148668374,False,False,False,False,85.95,4.04,237.21,2020,3,19
3,1,Springville,2089.7663117961965,False,False,False,False,61.81,2.3,188.73,2020,3,19
3,1,Orem,1043.547397786609,False,False,False,False,22.13,2.38,159.07,2020,3,19
3,1,Lehi,267.19803783574,False,False,False,False,65.67,2.16,226.53,2020,3,19
4,1,Provo,1711.2880517974875,False,False,False,False,108.76,6.41,218.6,2020,3,20
